"id","date","shop","gruppa","name","characteristic","quantity","item","price","amount","id_store"
"171","2018-05-15","Ёлки-палки","Дерево","Плинтус","18 х 55мм. х 3,0м.","9","шт.","69.00","621.00","25"
"172","2017-08-17","СтройБери","Расходники","Саморезы","кровельные 4,8 х 29мм., оцинкованные","400","шт.","2.00","600.00","73"
"173","2017-08-17","СтройБери","Расходники","Саморезы","4,2 х 19мм. с пресс-шайбой острые, оцинкованные","1","кг.","220.00","220.00","73"
"174","2017-08-17","СтройБери","Лакокрасочные","Кисть","плоская 38мм., Успех","1","шт.","60.00","60.00","73"
"175","2017-08-17","СтройБери","Лакокрасочные","Кисть","плоская 25мм., Суприм Аква Бибер 31201","1","шт.","35.00","35.00","73"
"176","2017-08-17","СтройБери","Лакокрасочные","Кисть","флейцевая 1,5""","1","шт.","30.00","30.00","73"
"177","2017-11-01","СтройБери","Расходники","Саморезы","кровельные 4,8 х 35мм., RALL 6005 (зелёный мох)","50","шт.","2.00","120.00","73"
"178","2017-12-17","Электрика для электрика","Электрика","Коробка","распаечная 3-х рожковая, пластиковая, белая (КОР-73)","5","шт.","10.00","50.00","86"
"179","2017-11-24","Баранка","Химия","Масло","моторное Noname М8В","1","л.","110.00","110.00","18"
"180","2018-12-17","Сима-Ленд","Инструмент","Аппарат","сварочный Ресанта САИ-190К инвертор ММА ВС 2419829","1","шт.","5637.00","5637.00","69"
"181","2017-05-22","Ёлки-палки","Дерево","Доска","Евровагонка А в/с 12,5см*88см*2,1м","150","шт.","51.00","7650.00","25"
"182","2017-05-22","Ёлки-палки","Дерево","Доска","Евровагонка В 1/с 12,5см*88см*2,1м","70","шт.","42.00","2940.00","25"
"183","2017-05-22","Ёлки-палки","Дерево","Доска","Евровагонка В 1/с 12,5см*88см*2,0м","50","шт.","40.00","1990.00","25"
"184","2014-05-22","СтройБери","Электрика","Выключатель","двойной","2","шт.","50.00","100.00","73"
"185","2014-05-22","СтройБери","Электрика","Лампа","люминисцентная","3","шт.","65.00","195.00","73"
"186","2014-05-22","СтройБери","Электрика","Розетка","2-х местная ОП Хит SchE RA16-237-B, 16А, 250В  (без защитных шторок, без заземления), белая","3","шт.","50.00","150.00","73"
"187","2014-05-22","СтройБери","Электрика","Лампа","накаливания 95Вт","6","шт.","20.00","120.00","73"
"188","2014-05-22","СтройБери","Электрика","Лампа","накаливания 60Вт","3","шт.","20.00","60.00","73"
"189","2014-05-22","СтройБери","Электрика","Лампа","накаливания 40Вт","6","шт.","20.00","120.00","73"
"190","2014-05-22","СтройБери","Электрика","Лампа","накаливания 25Вт","4","шт.","20.00","80.00","73"
"191","2014-05-22","ГазСервис","Бытовая техника","Счётчик","газовый","1","шт.","2000.00","2000.00","27"
"192","2014-05-22","Мастер-ПРОФ","Инструмент","Пила","электрическая, цепная, FIT 1600 Вт","1","шт.","6700.00","6700.00","44"
"193","2014-05-22","Пилорама","Дерево","Доска","150 х 25 х 4000мм. (130шт.)","2","куб.м.","6000.00","6000.00","61"
"194","2014-05-22","Пилорама","Дерево","Доска","200 х 50 х 6000мм. (56шт.)","2","куб.м.","3000.00","6000.00","61"
"195","2014-05-22","Реал Маркет Котлас","Электрика","Кабель","ПВС, 2 х2,5мм. х 40м.","40","м.","40.00","1600.00","2"
"196","2014-05-22","СтройБери","Стройматериалы","Утеплитель","плиты Пеноплекс толщина 50мм. - 24шт. ","3","шт.","1500.00","4500.00","73"
"197","2015-07-12","СтройБери","Сантехника","Насос","электрический для системы отопления, 2 крана, фильтр","4","шт.","4190.00","4190.00","73"
"198","2015-05-22","СтройБери","Химия","Антисептик","ХМ-11, 5л.","2","шт.","400.00","800.00","73"
"199","2014-05-22","СтройБери","Химия","Антисептик","ХМ-11, 10л.","1","шт.","538.00","538.00","73"
"200","2016-05-22","СтройБери","Химия","Антисептик","ХМ-11, 10л.","1","шт.","550.00","550.00","73"
"201","2015-05-22","СтройБери","Стройматериалы","Дверь","межкомнатная 200 х 80см. (белёный дуб). Полотно, наличники, коробка, ручка-защёлка, дверные петли.","1","шт.","4726.00","4726.00","73"
"202","2016-02-10","СтройБери","Стройматериалы","Дверь","межкомнатная 200 х 60см. (белёный дуб). Полотно, наличники, коробка, ручка-защёлка, дверные петли.","1","шт.","3534.00","3534.00","73"
"203","2015-04-12","СтройБери","Стройматериалы","Железо","листовое, оцинкованное 1000 х 2000 х 0,4мм.","2","шт.","500.00","1000.00","73"
"204","2017-06-25","СтройБери","Стройматериалы","Железо","листовое, оцинкованное 1000 х 2000 х 0,4мм.","4","шт.","600.00","2400.00","73"
"205","2017-06-25","СтройБери","Расходники","Замок","навесной","1","шт.","630.00","630.00","73"
"206","2014-06-25","СтройБери","Химия","Олифа","Оксоль, 3л.","2","шт.","250.00","500.00","73"
"207","2016-02-13","СтройБери","Химия","Олифа","Оксоль, 5л.","1","шт.","380.00","380.00","73"
"208","2016-02-13","СтройБери","Химия","Олифа","Оксоль, 1л.","3","шт.","103.00","309.00","73"
"209","2016-02-13","СтройБери","Химия","Олифа","Оксоль, 10л.","1","шт.","820.00","820.00","73"
"210","2016-02-23","СтройБери","Расходники","Перчатки","х/б, 4 нитки","1","шт.","20.00","20.00","73"
"211","2016-02-23","СтройБери","Расходники","Плита","OSB с покрытием 1220 х 2440 х 9мм.","4","шт.","650.00","2600.00","73"
"212","2016-02-23","СтройБери","Стройматериалы","Плита","OSB с покрытием 1220 х 2440 х 9мм.","4","шт.","650.00","2600.00","73"
"213","2016-02-23","СтройБери","Стройматериалы","Рубероид","10м., рулон","1","шт.","240.00","240.00","73"
